Local Authority,Constituency,No. Ukraine households at risk of homelessness,"No. Ukraine households at risk of homelessness (per 100,000)"
Hounslow,Brentford and Isleworth,87,84.46601941747574
Hounslow,Feltham and Heston,87,84.46601941747574
East Suffolk [note 5],Central Suffolk and North Ipswich,86,77.68744354110208
East Suffolk [note 5],Suffolk Coastal,86,77.68744354110208
East Suffolk [note 5],Waveney,86,77.68744354110208
Broxtowe,Ashfield,80,165.2892561983471
Broxtowe,Broxtowe,80,165.2892561983471
Haringey,Hornsey and Wood Green,69,65.65176022835395
Haringey,Tottenham,69,65.65176022835395
Hammersmith and Fulham,Chelsea and Fulham,60,73.89162561576356
Hammersmith and Fulham,Hammersmith,60,73.89162561576356
Horsham,Arundel and South Downs,59,94.55128205128204
Horsham,Horsham,59,94.55128205128204
South Ribble,Ribble Valley,57,117.28395061728395
South Ribble,South Ribble,57,117.28395061728395
Dorset [note 10],Christchurch,53,31.30537507383343
Dorset [note 10],Mid Dorset and North Poole,53,31.30537507383343
Dorset [note 10],North Dorset,53,31.30537507383343
Dorset [note 10],South Dorset,53,31.30537507383343
Dorset [note 10],West Dorset,53,31.30537507383343
Cherwell,Banbury,45,68.28528072837632
Cherwell,Henley,45,68.28528072837632
Cherwell,Oxford West and Abingdon,45,68.28528072837632
Great Yarmouth,Great Yarmouth,40,89.88764044943821
