lad_code,lad_name,total_3jun,temp_3jun,total_1jul,temp_1jul,total_29jul,temp_29jul,total_26aug,temp_26aug,total_23sep,temp_23sep,total_21oct,temp_21oct,total_18nov,temp_18nov,total_30dec,temp_30dec,total_27jan,temp_27jan,total_24feb,temp_24feb,total_24mar,temp_24mar,total_21apr,temp_21apr,total_19may,temp_19may,ltla21_name,region21_name,region21_code,total_delta,temp_delta
E07000223,Adur,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adur,South East,E12000008,0,0
E07000026,Allerdale,0,0,0,0,0,0,0,0,2,0,3,0,3,0,3,0,4,0,4,0,4,0,4,0,4,0,Allerdale,North West,E12000002,4,0
E07000032,Amber Valley,0,0,2,0,4,0,4,0,0,0,6,0,9,1,6,0,12,0,13,0,13,0,14,0,14,0,Amber Valley,East Midlands,E12000004,14,0
E07000224,Arun,2,0,4,0,5,1,6,3,6,3,8,2,9,3,8,2,9,2,10,3,10,2,10,2,10,2,Arun,South East,E12000008,8,2
E07000170,Ashfield,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashfield,East Midlands,E12000004,0,0
E07000105,Ashford,7,7,0,0,9,6,14,8,15,8,15,8,0,0,15,8,15,0,20,0,0,0,0,0,0,0,Ashford,South East,E12000008,-7,-7
E07000200,Babergh,0,0,0,0,0,0,1,0,2,0,2,0,6,0,2,0,8,0,9,0,9,0,10,0,10,0,Babergh,East of England,E12000006,10,0
E09000002,Barking & Dagenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,Barking and Dagenham,London,E12000007,0,0
E09000003,Barnet,22,9,28,12,33,13,35,12,39,11,39,12,47,13,39,12,59,14,65,15,69,16,71,13,74,14,Barnet,London,E12000007,52,5
E08000016,Barnsley,0,0,5,2,0,0,0,0,0,0,0,0,0,0,8,0,10,0,19,0,19,0,0,0,0,0,Barnsley,Yorkshire and The Humber,E12000003,0,0
