ltla21_code,ltla21_name,Households assessed as threatened with homelessness per (000s),Households assessed as homeless per (000s),"Households in temporary accommodation per 1,000","Households on housing waiting list per 1,000",Social housing stock as a proportion of all households,Vacant dwellings,housing_and_homelessness_composite_score,housing_and_homelessness_composite_rank,housing_and_homelessness_composite_quantiles
E07000223,Adur,0.523816175443498,1.1174745076128,4.19052940354798,29.927797833935017,0.0908303249097473,72,2.262987012987013,54.5,2
E07000026,Allerdale,1.46531707207106,1.33005703464911,0.157803376992268,74.9090909090909,0,1,3.3555194805194803,209,7
E07000032,Amber Valley,1.58530491272207,1.12005238398842,0.327399927627384,34.60035523978686,0,0,3.1818181818181817,189,7
E07000224,Arun,1.61643689216629,1.45612910120765,2.16415517794165,18.11554332874828,0.04694635488308115,65,2.8392857142857144,128,5
E07000170,Ashfield,1.46060658132142,1.59807543603402,0.670160666723945,74.75229357798165,0.12168807339449542,53,2.88474025974026,135,5
E07000105,Ashford,1.4074842977533,1.49545206636288,2.56865884339978,24.14179104477612,0.0951865671641791,124,2.487012987012987,80,3
E07000200,Babergh,1.52963671128107,0.884321223709369,1.55353728489484,19.55223880597015,0.08609452736318408,50,2.332792207792208,62,2
E09000002,Barking & Dagenham,2.10748155953635,1.96949169551909,NA,81.13667117726656,0.22583220568335588,545,3.405844155844156,221.5,8
E09000003,Barnet,1.6503027695548,2.16401569392984,13.5748640266103,21.766286098052387,0.06586971121558093,73,3.3392857142857144,207,7
E08000016,Barnsley,0.833917371208559,1.3662050549587,0.461315992583458,54.16281221091582,0.16775208140610545,118,1.9496753246753247,28,1
E07000027,Barrow-in-Furness,1.24760076775432,1.40754958413308,0.287907869481766,70.70287539936103,0.08105431309904153,57,2.6185064935064934,92,3
E07000066,Basildon,0.588634240597848,2.17538741090509,8.08732260995304,21.112565445026178,0.14329842931937173,210,2.2175324675324677,53,2
E07000084,Basingstoke & Deane,1.4027868699149,0.641273997675382,0.387436373595543,53.01566579634465,0,0,3.0681818181818183,168.5,6
E07000171,Bassetlaw,0.924125450029841,0.904872836487553,0.770104541691535,75.7864077669903,0.12866019417475727,190,2.0357142857142856,39,2
E06000022,Bath & North East Somerset,1.10773320861078,0.849262126601598,0.713872512215836,69.21717171717172,0,0,3.2954545454545454,204,7
E06000055,Bedford,2.20014485425749,2.56911324596526,8.11730461757109,19.22563417890521,0,0,4.353896103896104,291,10
E09000004,Bexley,1.14364586414276,0.719708173124322,NA,64.17628541448059,0,0,3.853896103896104,267.5,9
E08000025,Birmingham,1.46898765168516,2.12805952068766,10.0415632999079,51.634002361275094,0.13932467532467532,534,3.0454545454545454,161,6
E07000129,Blaby,1.39115841540432,1.32491277657554,0.574128869849402,20.422535211267608,0,0,3.0259740259740258,159,6
E06000008,Blackburn with Darwen,2.57830074407337,1.97265962969372,0.415296764146046,57.9421768707483,0,0,4.107142857142857,281,10
E06000009,Blackpool,3.83050416428254,4.14838832729353,2.19340072477589,99.36728395061728,0.07353395061728395,181,4.068181818181818,280,10
E07000033,Bolsover,1.65706834727806,0.679126371835271,0.0543301097468217,47.28045325779036,0.14192634560906517,192,1.7564935064935066,17,1
E08000001,Bolton,1.91603822250608,2.8822455312912,1.52300474096637,122.41582491582491,0,0,4.7564935064935066,306,10
E07000136,Boston,NA,NA,NA,29.931972789115644,0,0,4.912337662337662,307,10
E06000058,"Bournemouth, Christchurch and Poole",1.38208388796058,2.22606134413322,2.91143900988417,6.789413118527043,0.05509205983889528,135,2.6525974025974026,98.5,4
E06000036,Bracknell Forest,2.0825223822499,0.953678474114441,3.36706889840405,33.66533864541832,0,3,3.688311688311688,257,9
E08000032,Bradford,1.81157674629253,1.3586825597194,1.32013837362807,99.80943306336351,0,0,4.2727272727272725,288.5,10
E07000067,Braintree,1.03367028957969,0.562438245800714,0.805654784525348,37.84615384615385,0,2,2.659090909090909,100,4
E07000143,Breckland,0.823749838480424,1.69595554981264,1.82517121075074,20.165562913907284,0,0,3.224025974025974,194.5,7
E09000005,Brent,1.9475994996684,4.48283677940917,NA,212.6306913996627,0.0644097807757167,104,4.420454545454545,296,10
E07000068,Brentwood,0.953804088640193,0.476902044320097,0.826630210154834,4.767801857585139,0.07743034055727555,65,1.4204545454545454,5,1
E06000043,Brighton & Hove,1.44861715789144,1.90277821279795,NA,38.47611202635915,0.0963014827018122,272,3.0714285714285716,172,6
E06000023,Bristol,0.772123339182753,3.02832790172976,6.22712459262973,88.30375782881002,0.13994780793319417,297,3.061688311688312,166,6
E07000144,Broadland,0.736162709078769,0.907363339097088,0.667682457071442,14.048442906574396,0,0,2.392857142857143,70.5,3
E09000006,Bromley,1.60886414191581,2.02856783111124,10.7653996278627,19.278350515463917,0,1056,3.202922077922078,190,7
E07000234,Bromsgrove,1.68677521377533,0.679395572215064,0.796532739838351,75.66585956416465,0,0,3.633116883116883,250,9
E07000095,Broxbourne,1.29127000202552,2.32934980757545,3.2914725541827,37.819548872180455,0,6,3.8474025974025974,266,9
E07000172,Broxtowe,1.63983601639836,0.53994600539946,0.2999700029997,57.74793388429752,0.09049586776859504,151,2.0113636363636362,34.5,2
E06000060,Buckinghamshire,2.23225380816173,1.0121960587616,1.68548718713427,30.136177939173855,0,11,3.446428571428571,232,8
E07000117,Burnley,1.56816370600787,1.90236252859971,0.591274839970179,41.82957393483709,0,15,3.394480519480519,219,8
E08000002,Bury,2.47098103974061,1.71160637874715,1.25357086894158,15.712515489467162,0.0933457249070632,146,2.5551948051948052,86,3
E08000033,Calderdale,2.05849918605262,0.703670640130232,0.703670640130232,110.19889502762432,0,0,3.8051948051948052,263,9
E07000008,Cambridge,1.60241736104752,2.17470927570735,3.63977657723652,25.53435114503817,0.1382824427480916,110,2.857142857142857,131.5,5
E09000007,Camden,0.475907198096371,1.35123650888077,5.49842780657772,75.61422413793103,0.24723060344827583,530,2.262987012987013,54.5,2
E07000192,Cannock Chase,1.32579105532968,0.397737316598904,0.022096517588828,25.195402298850578,0.11666666666666668,72,1.3311688311688312,4,1
E07000106,Canterbury,0.79064115140778,2.35728195141949,2.09373490095023,44.0282131661442,0.07978056426332289,112,2.8506493506493507,130,5
E07000028,Carlisle,1.33804645217982,1.83731751642602,0.239650110838176,123.6094674556213,0,2,3.551948051948052,238.5,8
E07000069,Castle Point,1.14106782719457,0.849166755121537,2.60057318755971,15.748663101604276,0.03994652406417112,7,2.456168831168831,76.5,3
E06000056,Central Bedfordshire,1.48923943570775,1.56208266897607,2.34717084975678,11.4817880794702,0.04552980132450331,156,2.538961038961039,82.5,3
E07000130,Charnwood,0.33553582490192,1.18728061119141,1.14856493908734,16.44986449864499,0.07459349593495936,332,1.5064935064935066,7,1
E07000070,Chelmsford,1.70944632208057,1.50065898503256,4.86735479493169,11.485411140583556,0,14,3.4237012987012987,229.5,8
E07000078,Cheltenham,1.43299323627192,1.24192747143567,0.343918376705262,51.28544423440454,0.0861436672967864,71,2.4756493506493507,79,3
E07000177,Cherwell,1.45133301782616,0.631014355576589,0.504811484461271,29.31714719271624,0,0,2.8246753246753245,125,5
E06000049,Cheshire East,1.52957270087907,0.94660348280818,0.207791008421308,35.94625500285878,0,13,2.6948051948051948,106,4
E06000050,Cheshire West & Chester,1.19881544074288,1.89866445479818,NA,41.4819587628866,0.03492268041237113,38,3.5779220779220777,244,8
E07000034,Chesterfield,1.28721165437345,1.61412255072227,0.531230206566823,53.18087318087318,0.18384615384615385,285,2.1217532467532467,47,2
E07000225,Chichester,1.07772169633395,1.09568372460618,1.56269645968423,44.4547134935305,0,3,3.224025974025974,194.5,7
E07000118,Chorley,1.476853166714,1.26857900217741,0.681624538483385,25.089820359281436,0,0,3.2175324675324677,193,7
E09000001,City of London,0.231053604436229,1.84842883548983,6.93160813308688,183.46938775510205,0.3804081632653062,36,2.99025974025974,151,5
E07000071,Colchester,1.41020125244993,0.908265213442325,3.20282996319136,26.624843161856965,0.07419071518193225,54,2.6444805194805197,96,4
E07000029,Copeland,2.34311328443358,0.882912252105406,0.271665308340125,72.46753246753248,0,1,3.436688311688312,231,8
