ltla21_code,"Assessed as homeless or threatened with homelessness per 1,000","Households in temporary accommodation per 1,000","Households on housing waiting list per 1,000",Social housing stock as a proportion of all households,"Vacant dwellings per 1,000 units of social housing stock",housing_and_homelessness_composite_score,housing_and_homelessness_composite_rank,housing_and_homelessness_composite_quantiles
S12000039,19.64192987605265,6.727925405820333,99.56426523378413,0.22922357934662363,26.494632128434944,3.064516129032258,26,9
S12000040,15.022860875244938,8.195408106675869,104.07552099380108,0.17291694908987837,23.519350010690612,3.4838709677419355,30.5,10
S12000005,16.182966601989843,4.128307806630063,36.82450563514016,0.2051356149114478,18.514791708593275,2.4516129032258065,13,4
S12000006,9.700548291859976,2.5446365809081963,0,NA,0,2.6129032258064515,16,5
S12000008,11.371762448766026,2.267375948373594,51.83570245051016,0.21145896921601115,41.65291982843946,1.5483870967741935,6,2
S12000010,10.887039335788852,8.526485012515009,46.2750045786614,0.18145743879855925,17.494673096332846,2.741935483870968,18,6
S12000011,7.651829066781911,1.7286524137580397,85.66997991712637,0.07611154892340545,24.716098864395455,2.225806451612903,11,4
S12000013,9.551172542320236,4.659108557229383,0,NA,0,2.870967741935484,22,7
S12000014,11.11216126810958,5.103763012570379,131.77970106530927,0.22461958062730375,24.224573214715075,2.806451612903226,20,7
S12000017,8.31745240173117,6.474076976508094,64.99011523322706,0.12767378488610256,17.925646927530167,2.935483870967742,23,8
S12000018,5.820628521079754,1.949109550636798,0,NA,0,2.129032258064516,10,3
S12000019,10.523280957186104,9.994714333765796,77.57916486473499,0.17031858151938878,10.86189871632106,3.354838709677419,29,10
S12000020,7.651074357447198,2.863426031978742,57.86411325422642,0.1431713015989371,15.2,2.2580645161290325,12,4
S12000021,11.94257788637752,4.123396456933414,104.3219303604154,0.19682345754428832,14.121663563004343,3.193548387096774,28,9
S12000023,11.150629626069405,6.632702105161973,62.19359800057675,0.09180044218014034,37.696335078534034,2.838709677419355,21,7
S12000026,9.845744010655723,1.7459546051802657,0,NA,0,2.5161290322580645,14,5
S12000027,6.46756705345254,7.323568575233023,54.97431995434659,0.15769450256800455,34.981905910735826,2.032258064516129,9,3
S12000028,12.486043915147004,4.931149981391887,63.02567919612952,0.15120952735392632,31.380753138075313,2.774193548387097,19,6
S12000029,10.886089335994818,4.620143561542427,91.70885824950096,0.16532050180443375,18.11130657284503,2.967741935483871,24,8
S12000030,11.40571767145608,8.61600750506098,93.51700982570485,0.14387991902434208,24.021962937542895,3.4838709677419355,30.5,10
S12000033,10.77643317728116,2.499779171451286,36.55154138327003,0.195247769631658,35.96634093376765,1.4838709677419355,4.5,1
S12000034,6.532289799309169,1.6090245288793668,43.59232215469372,0.11384723011674172,40.55611030033029,1.2258064516129032,1,1
S12000035,8.458214581226441,2.482302105359934,0,NA,0,2.5806451612903225,15,5
S12000036,7.782829742458348,8.824882260277038,83.70612490790454,0.08192730869584686,28.618273960351768,3,25,8
S12000038,7.855061446851641,2.073183373069348,47.39527544544649,0.14065397417734932,87.04552898788077,1.4193548387096775,3,1
S12000041,5.65416285452882,1.8847209515096064,85.58096980786826,0.14305580969807868,67.66436428754156,1.4838709677419355,4.5,1
S12000042,15.3946437734907,6.3381551391759015,100.28708930280293,0.17235066502087293,29.53246962259596,3.129032258064516,27,9
S12000045,4.078582105487935,3.5020286141362376,46.957078795643824,0.0757847533632287,37.475345167652854,1.7419354838709677,8,3
S12000047,11.714596177648133,4.114054610007379,65.14500880337957,0.17777596996972567,22.912989475060467,2.7096774193548385,17,6
S12000048,8.03565112824503,0.537596378298083,32.35481360967674,0.1097828393577138,23.711340206185564,1.6774193548387095,7,2
S12000049,16.66709320775964,8.535087270307622,0,NA,0,3.870967741935484,32,10
S12000050,9.189434745927706,3.6991368680641186,59.653449282886626,0.23876955026283345,42.2646227440748,1.3870967741935485,2,1
