ltla21_code,"Homeless or threatened with homelessness per 1,000","Households in temporary accommodation per 1,000",Social housing stock as a proportion of all households,"Vacant dwellings per 1,000 units of social housing stock",housing_and_homelessness_composite_score,housing_and_homelessness_composite_rank,housing_and_homelessness_composite_quantiles
W06000001,9.247621101674984,4.966315036084715,0.14607816295794004,5.666275889019149,1.7619047619047619,8,4
W06000002,8.628884606616912,9.97115554542399,0.14862454764100724,9.676378883990967,1.9523809523809523,10,5
W06000003,17.009479758297733,13.01640066869735,0.12091596637123236,12.151536812008578,3,22,10
W06000004,16.673314346569676,19.015846114269543,0.14576518754501064,15.755475027572082,2.571428571428571,17,8
W06000005,10.311478045481806,6.743793658437469,0.1558904043753642,20.932179737650017,1.1428571428571428,3,1
W06000006,14.165934917099504,11.40185005522643,0.22326566414058105,40.89904200442152,1.0952380952380951,2,1
W06000008,11.02060666617848,6.393634401752401,0.10215793914729825,10.43096349162778,2.142857142857143,11,5
W06000009,15.896148939042874,13.326112883029952,0.14730114061777752,15.078082929456112,2.4285714285714284,15.5,7
W06000010,29.534485940304133,8.544994784106361,0.14508406487935088,34.97974446868183,2.2857142857142856,14,7
W06000011,21.33453730968819,5.193099420425985,0.2018081264463479,21.84197727373215,1.380952380952381,5,2
W06000012,19.66331762534839,7.510294926348343,0.19494904951242395,21.09113549692583,1.5238095238095237,6.5,3
W06000013,21.716706381230832,9.399768433667075,0.14547260671151427,15.172413793103448,2.619047619047619,19,9
W06000014,14.125600216551582,7.914343383741666,0.1292008208932342,10.209356422848282,2.4285714285714284,15.5,7
W06000015,27.698707312873445,12.910414425491862,0.18312575209087825,14.70535873241944,2.761904761904762,20,10
W06000016,13.19866360761744,3.2097379003849533,0.1484964948166602,18.75776397515528,1.1904761904761905,4,2
W06000018,20.958067395195073,8.360528690140994,0.19403236041508215,20.73178657308117,1.8571428571428572,9,4
W06000019,13.197741301746586,4.124294156795808,0.24351665721347693,27.474595408355288,0.42857142857142855,1,1
W06000020,18.81172424517988,6.530862756817164,0.25217175507029177,13.043070282443464,1.5238095238095237,6.5,3
W06000021,17.072718285896958,12.751407848387768,0.14090305672468484,15.753309870956928,2.5714285714285716,18,9
W06000022,25.895146774480363,18.109106021342686,0.21035432574066903,24.2600679281902,2.238095238095238,12.5,6
W06000023,20.70475622844148,11.322913562428932,0.13866332649717392,29.10787690256638,2.238095238095238,12.5,6
W06000024,23.16067056651987,13.962892303260784,0.21697891372844932,8.512087163772557,2.857142857142857,21,10
