Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2024-03-25,117,30591,31807,5686,26260,19025,13718,26524,19093,13777,25997,18924,13630,133,0,0.015758110477384887,0.0045552968691951815,0.0045552968691951815,0.027362233093586347,0.01129739065243909,0.01129739065243909,0.004153987861183426,0,0,358,68,59,621,169,147,94,0,0,485,937,94,202720,203172,202329
2024-04-01,118,27219,28181,5038,29339,22568,14306,29906,22719,14425,28766,22339,14125,115,0,0.015546985829237121,0.004387611219387633,0.004387611219387633,0.027052504901921556,0.011077074742719156,0.011077074742719156,0.004041466756552686,0,0,408,83,60,718,211,153,105,0,0,551,1082,105,203271,204254,202434
2024-04-08,119,24213,24968,4464,31992,25686,14820,32896,25932,14999,31069,25305,14542,97,0,0.015335861181089355,0.004219925569580098,0.004219925569580098,0.026742776710256762,0.010856758832999242,0.010856758832999242,0.003928945651921947,0,0,450,95,60,800,247,157,113,0,0,605,1204,113,203876,205458,202547
2024-04-15,120,21533,22122,3955,34268,28428,15269,35537,28778,15508,32959,27875,14891,80,0,0.015124736532941586,0.00405223991977257,0.00405223991977257,0.02643304851859197,0.010636442923279338,0.010636442923279338,0.0038164245472912025,0,0,484,104,60,870,276,160,119,0,0,648,1306,119,204524,206764,202666
2024-04-22,121,19140,19600,3504,36212,30840,15661,37870,31300,15959,34486,30097,15180,62,0,0.014913611884793818,0.003884554269965035,0.003884554269965035,0.026123320326927175,0.010416127013559423,0.010416127013559423,0.003703903442660462,0,0,511,110,59,928,300,162,122,0,0,680,1390,122,205204,208154,202788
2024-04-29,122,17002,17366,3105,37862,32959,16002,39928,33534,16358,35690,32012,15416,44,0,0.01470248723664605,0.0037168686201575,0.0037168686201575,0.02581359213526238,0.010195811103839509,0.010195811103839509,0.0035913823380297194,0,0,532,115,58,978,319,163,124,0,0,705,1460,124,205909,209614,202912
2024-05-06,123,15090,15386,2751,39251,34822,16299,41742,35514,16712,36610,33657,15607,26,0,0.014491362588498282,0.003549182970349958,0.003549182970349958,0.025503863943597584,0.009975495194119586,0.009975495194119586,0.0034788612333989787,0,0,549,117,57,1018,335,163,124,0,0,723,1516,124,206632,211130,203036
2024-05-13,124,13378,13632,2437,40410,36458,16558,43339,37268,17026,37278,35065,15758,8,0,0.014280237940350514,0.003381497320542423,0.003381497320542423,0.02519413575193279,0.009755179284399673,0.009755179284399673,0.003366340128768238,0,0,561,118,55,1052,346,163,123,0,0,734,1561,123,207366,212691,203159
2024-05-20,125,11853,12078,2159,41366,37895,16783,44743,38822,17304,37725,36264,15874,0,0,0.01406911329220275,0.003213811670734888,0.003213811670734888,0.024884407560268003,0.009534863374679757,0.009534863374679757,0.0032538190241374974,0,0,569,117,53,1078,355,162,121,0,0,739,1595,121,208105,214286,203280
2024-05-27,126,10502,10701,1913,42144,39157,16978,45975,40199,17550,37976,37279,15959,0,0,0.013857988644054981,0.0030461260209273602,0.0030461260209273602,0.024574679368603206,0.009314547464959853,0.009314547464959853,0.0031412979195067584,0,0,573,115,51,1100,362,161,119,0,0,739,1623,119,208844,215909,203399
