Region,Date,Week,Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
North,2023-05-22,73,0,119,0,15461,15580,15461
North,2023-05-29,74,0,126,0,15461,15706,15461
North,2023-06-05,75,0,131,0,15461,15837,15461
North,2023-06-12,76,0,134,0,15461,15971,15461
North,2023-06-19,77,0,136,0,15461,16107,15461
North,2023-06-26,78,0,137,0,15461,16244,15461
North,2023-07-03,79,0,137,0,15461,16381,15461
North,2023-07-10,80,0,136,0,15461,16517,15461
North,2023-07-17,81,0,134,0,15461,16651,15461
North,2023-07-24,82,0,132,0,15461,16783,15461
North,2023-07-31,83,0,128,0,15461,16911,15461
North,2023-08-07,84,0,124,0,15461,17035,15461
North,2023-08-14,85,0,120,0,15461,17155,15461
North,2023-08-21,86,0,115,0,15461,17270,15461
North,2023-08-28,87,0,109,0,15461,17379,15461
North,2023-09-04,88,0,104,0,15461,17483,15461
North,2023-09-11,89,0,97,0,15461,17580,15461
North,2023-09-18,90,0,91,0,15461,17671,15461
North,2023-09-25,91,0,84,0,15461,17755,15461
North,2023-10-02,92,0,77,0,15461,17832,15461
North,2023-10-09,93,0,70,0,15461,17902,15461
North,2023-10-16,94,0,63,0,15461,17965,15461
North,2023-10-23,95,0,55,0,15461,18020,15461
North,2023-10-30,96,0,47,0,15461,18067,15461
Central,2023-05-22,73,0,169,0,22265,22434,22265
Central,2023-05-29,74,0,177,0,22265,22611,22265
Central,2023-06-05,75,0,183,0,22265,22794,22265
Central,2023-06-12,76,0,187,0,22265,22981,22265
Central,2023-06-19,77,0,189,0,22265,23170,22265
Central,2023-06-26,78,0,190,0,22265,23360,22265
Central,2023-07-03,79,0,189,0,22265,23549,22265
Central,2023-07-10,80,0,187,0,22265,23736,22265
Central,2023-07-17,81,0,184,0,22265,23920,22265
Central,2023-07-24,82,0,180,0,22265,24100,22265
Central,2023-07-31,83,0,175,0,22265,24275,22265
Central,2023-08-07,84,0,169,0,22265,24444,22265
Central,2023-08-14,85,0,162,0,22265,24606,22265
Central,2023-08-21,86,0,155,0,22265,24761,22265
Central,2023-08-28,87,0,147,0,22265,24908,22265
Central,2023-09-04,88,0,139,0,22265,25047,22265
Central,2023-09-11,89,0,130,0,22265,25177,22265
Central,2023-09-18,90,0,121,0,22265,25298,22265
Central,2023-09-25,91,0,112,0,22265,25410,22265
Central,2023-10-02,92,0,102,0,22265,25512,22265
Central,2023-10-09,93,0,91,0,22265,25603,22265
Central,2023-10-16,94,0,81,0,22265,25684,22265
Central,2023-10-23,95,0,70,0,22265,25754,22265
Central,2023-10-30,96,0,59,0,22265,25813,22265
South and the Channel Islands,2023-05-22,73,0,135,0,22326,22461,22326
South and the Channel Islands,2023-05-29,74,0,139,0,22326,22600,22326
South and the Channel Islands,2023-06-05,75,0,142,0,22326,22742,22326
South and the Channel Islands,2023-06-12,76,0,143,0,22326,22885,22326
South and the Channel Islands,2023-06-19,77,0,143,0,22326,23028,22326
South and the Channel Islands,2023-06-26,78,0,142,0,22326,23170,22326
South and the Channel Islands,2023-07-03,79,0,139,0,22326,23309,22326
South and the Channel Islands,2023-07-10,80,0,136,0,22326,23445,22326
South and the Channel Islands,2023-07-17,81,0,132,0,22326,23577,22326
South and the Channel Islands,2023-07-24,82,0,127,0,22326,23704,22326
South and the Channel Islands,2023-07-31,83,0,121,0,22326,23825,22326
South and the Channel Islands,2023-08-07,84,0,115,0,22326,23940,22326
South and the Channel Islands,2023-08-14,85,0,108,0,22326,24048,22326
South and the Channel Islands,2023-08-21,86,0,101,0,22326,24149,22326
South and the Channel Islands,2023-08-28,87,0,93,0,22326,24242,22326
South and the Channel Islands,2023-09-04,88,0,85,0,22326,24327,22326
South and the Channel Islands,2023-09-11,89,0,76,0,22326,24403,22326
South and the Channel Islands,2023-09-18,90,0,68,0,22326,24471,22326
South and the Channel Islands,2023-09-25,91,0,58,0,22326,24529,22326
South and the Channel Islands,2023-10-02,92,0,49,0,22326,24578,22326
South and the Channel Islands,2023-10-09,93,0,40,0,22326,24618,22326
South and the Channel Islands,2023-10-16,94,0,30,0,22326,24648,22326
South and the Channel Islands,2023-10-23,95,0,20,0,22326,24668,22326
South and the Channel Islands,2023-10-30,96,0,10,0,22326,24678,22326
South East,2023-05-22,73,0,132,0,20446,20578,20446
South East,2023-05-29,74,0,136,0,20446,20714,20446
South East,2023-06-05,75,0,139,0,20446,20853,20446
South East,2023-06-12,76,0,140,0,20446,20993,20446
South East,2023-06-19,77,0,140,0,20446,21133,20446
South East,2023-06-26,78,0,138,0,20446,21271,20446
South East,2023-07-03,79,0,136,0,20446,21407,20446
