Date,Week,Backlog of visa applications - Homes for Ukraine,Backlog of visa applications - Family Scheme,Backlog of visa applications - Super Sponsor,Backlog of visas issued - Homes for Ukraine,Backlog of visas issued - Family Scheme,Backlog of visas issued - Super Sponsor,Backlog of visas issued - Homes for Ukraine (upper bound),Backlog of visas issued - Family Scheme (upper bound),Backlog of visas issued - Super Sponsor (upper bound),Backlog of visas issued - Homes for Ukraine (lower bound),Backlog of visas issued - Family Scheme (lower bound),Backlog of visas issued - Super Sponsor (lower bound),Weekly applications - Homes for Ukraine,Weekly applications - Family Scheme,Arrival rate - Homes for Ukraine,Arrival rate - Family Scheme,Arrival rate - Super Sponsor,Arrival rate - Homes for Ukraine (upper bound),Arrival rate - Family Scheme (upper bound),Arrival rate - Super Sponsor (upper bound),Arrival rate - Homes for Ukraine (lower bound),Arrival rate - Family Scheme (lower bound),Arrival rate - Super Sponsor (lower bound),Weekly arrivals - Homes for Ukraine,Weekly arrivals - Family Scheme,Weekly arrivals - Super Sponsor,Weekly arrivals - Homes for Ukraine (upper bound),Weekly arrivals - Family Scheme (upper bound),Weekly arrivals - Super Sponsor (upper bound),Weekly arrivals - Homes for Ukraine (lower bound),Weekly arrivals - Family Scheme (lower bound),Weekly arrivals - Super Sponsor (lower bound),Weekly arrivals,Weekly arrivals (upper bound),Weekly arrivals (lower bound),Total arrivals,Total arrivals (upper bound),Total arrivals (lower bound)
2023-04-24,69,22494,23248,5747,23749,20144,15088,24338,20252,15178,23160,19976,14949,0,0,0.02813793880714979,0.0062301876739967515,0.0062301876739967515,0.05540521887562111,0.015847210378904884,0.015847210378904884,8.706587386784655e-4,0,0,608,108,90,1197,276,229,19,0,0,806,1702,19,171787,172683,171000
2023-05-01,70,20036,20708,5119,25539,22608,15659,26776,22792,15806,24270,22259,15384,0,0,0.02813793880714979,0.0037610222604308173,0.0037610222604308173,0.05540521887562111,0.012693213386103994,0.012693213386103994,8.706587386784655e-4,0,0,668,76,57,1348,257,193,20,0,0,801,1798,20,172588,174481,171020
2023-05-08,71,17847,18445,4560,27009,24842,16198,28944,25055,16365,24975,24305,15792,0,0,0.02813793880714979,0.001291856846864883,0.001291856846864883,0.05540521887562111,0.009539216393303105,0.009539216393303105,8.706587386784655e-4,0,0,719,29,20,1484,217,151,21,0,0,768,1852,21,173356,176333,171041
2023-05-15,72,15897,16430,4062,28199,26857,16696,30872,27070,16863,25321,26160,16186,0,0,0.02813793880714979,0,0,0.05540521887562111,0.006385219400502219,0.006385219400502219,8.706587386784655e-4,0,0,760,0,0,1604,160,104,22,0,0,760,1868,22,174116,178201,171063
2023-05-22,73,14160,14635,3618,29143,28652,17140,32587,28865,17307,25348,27868,16576,0,0,0.02813793880714979,0,0,0.05540521887562111,0.00323122240770133,0.00323122240770133,8.706587386784655e-4,0,0,793,0,0,1710,87,54,22,0,0,793,1851,22,174909,180052,171085
2023-05-29,74,12613,13036,3223,29870,30251,17535,34112,30464,17702,25090,29465,16970,0,0,0.02813793880714979,0,0,0.05540521887562111,7.722541490044147e-5,7.722541490044147e-5,8.706587386784655e-4,0,0,820,0,0,1805,2,1,22,0,0,820,1808,22,175729,181860,171107
2023-06-05,75,11235,11612,2871,30408,31675,17887,35468,31888,18054,24578,30889,17322,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,840,0,0,1890,0,0,22,0,0,840,1890,22,176569,183750,171129
2023-06-12,76,10007,10343,2557,30780,32944,18201,36675,33157,18368,23841,32158,17636,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,856,0,0,1965,0,0,21,0,0,856,1965,21,177425,185715,171150
2023-06-19,77,8914,9213,2278,31007,34074,18480,37747,34287,18647,22902,33288,17915,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,866,0,0,2032,0,0,21,0,0,866,2032,21,178291,187747,171171
2023-06-26,78,7940,8206,2029,31109,35081,18729,38701,35294,18896,21785,34295,18164,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,872,0,0,2091,0,0,20,0,0,872,2091,20,179163,189838,171191
2023-07-03,79,7072,7309,1807,31102,35978,18951,39550,36191,19118,20509,35192,18386,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,875,0,0,2144,0,0,19,0,0,875,2144,19,180038,191982,171210
2023-07-10,80,6299,6510,1610,31000,36777,19148,40305,36990,19315,19091,35991,18583,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,875,0,0,2191,0,0,18,0,0,875,2191,18,180913,194173,171228
2023-07-17,81,5611,5799,1434,30816,37488,19324,40976,37701,19491,17546,36702,18759,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,872,0,0,2233,0,0,17,0,0,872,2233,17,181785,196406,171245
2023-07-24,82,4998,5165,1277,30562,38122,19481,41574,38335,19648,15889,37336,18916,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,867,0,0,2270,0,0,15,0,0,867,2270,15,182652,198676,171260
2023-07-31,83,4452,4601,1137,30248,38686,19621,42106,38899,19788,14132,37900,19056,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,860,0,0,2303,0,0,14,0,0,860,2303,14,183512,200979,171274
2023-08-07,84,3966,4098,1013,29883,39189,19745,42580,39402,19912,12285,38403,19180,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,851,0,0,2333,0,0,12,0,0,851,2333,12,184363,203312,171286
2023-08-14,85,3533,3650,902,29475,39637,19856,43002,39850,20023,10359,38851,19291,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,841,0,0,2359,0,0,11,0,0,841,2359,11,185204,205671,171297
2023-08-21,86,3147,3251,803,29032,40036,19955,43379,40249,20122,8362,39250,19390,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,829,0,0,2383,0,0,9,0,0,829,2383,9,186033,208054,171306
2023-08-28,87,2803,2896,715,28559,40391,20043,43716,40604,20210,6303,39605,19478,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,817,0,0,2403,0,0,7,0,0,817,2403,7,186850,210457,171313
2023-09-04,88,2497,2580,637,28061,40707,20121,44017,40920,20288,4187,39921,19556,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,804,0,0,2422,0,0,5,0,0,804,2422,5,187654,212879,171318
2023-09-11,89,2224,2298,567,27544,40989,20191,44286,41202,20358,2021,40203,19626,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,790,0,0,2439,0,0,4,0,0,790,2439,4,188444,215318,171322
2023-09-18,90,1981,2047,505,27012,41240,20253,44527,41453,20420,243,40454,19688,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,775,0,0,2454,0,0,2,0,0,775,2454,2,189219,217772,171324
2023-09-25,91,1765,1823,450,26468,41464,20308,44743,41677,20475,216,40678,19743,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,760,0,0,2467,0,0,0,0,0,760,2467,0,189979,220239,171324
2023-10-02,92,1572,1624,401,25916,41663,20357,44936,41876,20524,193,40877,19792,0,0,0.02813793880714979,0,0,0.05540521887562111,0,0,8.706587386784655e-4,0,0,745,0,0,2479,0,0,0,0,0,745,2479,0,190724,222718,171324
