region,ltla21_name
East Midlands,Leicester
East Midlands,North Kesteven
East Midlands,South Holland
East of England,Basildon
East of England,Braintree
East of England,Brentwood
East of England,Castle Point
East of England,Central Bedfordshire
East of England,Colchester
East of England,Fenland
East of England,Harlow
East of England,Ipswich
East of England,Luton
East of England,Maldon
East of England,Peterborough
East of England,Tendring
East of England,Thurrock
London,Barking and Dagenham
London,Bexley
London,Brent
London,Ealing
London,Enfield
London,Greenwich
London,Hammersmith and Fulham
London,Haringey
London,Havering
London,Hillingdon
London,Hounslow
London,Newham
London,Redbridge
London,Southwark
London,Waltham Forest
London,Westminster
North East,Middlesbrough
North West,Burnley
Northern Ireland,Fermanagh and Omagh
Northern Ireland,Mid Ulster
Scotland,Angus
Scotland,East Ayrshire
Scotland,East Renfrewshire
Scotland,Fife
Scotland,North Lanarkshire
Scotland,South Lanarkshire
South East,Arun
South East,Basingstoke and Deane
South East,Bracknell Forest
South East,Brighton and Hove
South East,Dover
South East,Elmbridge
South East,Folkestone and Hythe
South East,Gosport
South East,Gravesham
South East,Hart
South East,Hastings
South East,Maidstone
South East,Medway
South East,Milton Keynes
South East,Portsmouth
South East,Reading
South East,Runnymede
South East,Rushmoor
South East,Sevenoaks
South East,Swale
South East,Thanet
South East,Tunbridge Wells
South East,Woking
South East,Wokingham
Wales,Blaenau Gwent
Wales,Flintshire
Wales,Merthyr Tydfil
Wales,Newport
Wales,Rhondda Cynon Taf
West Midlands,Telford and Wrekin
Yorkshire and The Humber,Calderdale
Yorkshire and The Humber,"Kingston upon Hull, City of"
Yorkshire and The Humber,North East Lincolnshire
